"","date","daily_vaccines"
"105","2024-11-12","[[0.003641, 0.003641],[0.003181, 0.003181],[0.002127, 0.002127],[0.002884, 0.002884],[0.00452, 0.00452]]"
"106","2024-11-13","[[0.003616, 0.003616],[0.003147, 0.003147],[0.002095, 0.002095],[0.002807, 0.002807],[0.004508, 0.004508]]"
"107","2024-11-14","[[0.003589, 0.003589],[0.003112, 0.003112],[0.002063, 0.002063],[0.002729, 0.002729],[0.004493, 0.004493]]"
"108","2024-11-15","[[0.003562, 0.003562],[0.003077, 0.003077],[0.00203, 0.00203],[0.002652, 0.002652],[0.004477, 0.004477]]"
"109","2024-11-16","[[0.003533, 0.003533],[0.00304, 0.00304],[0.001996, 0.001996],[0.002574, 0.002574],[0.00446, 0.00446]]"
"110","2024-11-17","[[0.003503, 0.003503],[0.003003, 0.003003],[0.001962, 0.001962],[0.002497, 0.002497],[0.00444, 0.00444]]"
"111","2024-11-18","[[0.003473, 0.003473],[0.002965, 0.002965],[0.001927, 0.001927],[0.002421, 0.002421],[0.004419, 0.004419]]"
"112","2024-11-19","[[0.003441, 0.003441],[0.002927, 0.002927],[0.001892, 0.001892],[0.002345, 0.002345],[0.004397, 0.004397]]"
"113","2024-11-20","[[0.003409, 0.003409],[0.002888, 0.002888],[0.001857, 0.001857],[0.00227, 0.00227],[0.004372, 0.004372]]"
"114","2024-11-21","[[0.003375, 0.003375],[0.002849, 0.002849],[0.001821, 0.001821],[0.002195, 0.002195],[0.004347, 0.004347]]"
"115","2024-11-22","[[0.003341, 0.003341],[0.002809, 0.002809],[0.001786, 0.001786],[0.002122, 0.002122],[0.004319, 0.004319]]"
"116","2024-11-23","[[0.003307, 0.003307],[0.002768, 0.002768],[0.00175, 0.00175],[0.00205, 0.00205],[0.00429, 0.00429]]"
"117","2024-11-24","[[0.003271, 0.003271],[0.002728, 0.002728],[0.001714, 0.001714],[0.001979, 0.001979],[0.00426, 0.00426]]"
"118","2024-11-25","[[0.003235, 0.003235],[0.002687, 0.002687],[0.001678, 0.001678],[0.00191, 0.00191],[0.004228, 0.004228]]"
"119","2024-11-26","[[0.003198, 0.003198],[0.002645, 0.002645],[0.001642, 0.001642],[0.001841, 0.001841],[0.004195, 0.004195]]"
"120","2024-11-27","[[0.003161, 0.003161],[0.002604, 0.002604],[0.001606, 0.001606],[0.001775, 0.001775],[0.004161, 0.004161]]"
"121","2024-11-28","[[0.003123, 0.003123],[0.002562, 0.002562],[0.001571, 0.001571],[0.00171, 0.00171],[0.004125, 0.004125]]"
"122","2024-11-29","[[0.003085, 0.003085],[0.00252, 0.00252],[0.001535, 0.001535],[0.001646, 0.001646],[0.004089, 0.004089]]"
"123","2024-11-30","[[0.003046, 0.003046],[0.002478, 0.002478],[0.0015, 0.0015],[0.001584, 0.001584],[0.004051, 0.004051]]"
"124","2024-12-01","[[0.003007, 0.003007],[0.002436, 0.002436],[0.001465, 0.001465],[0.001523, 0.001523],[0.004012, 0.004012]]"
"125","2024-12-02","[[0.002967, 0.002967],[0.002394, 0.002394],[0.00143, 0.00143],[0.001464, 0.001464],[0.003972, 0.003972]]"
"126","2024-12-03","[[0.002927, 0.002927],[0.002352, 0.002352],[0.001395, 0.001395],[0.001407, 0.001407],[0.00393, 0.00393]]"
"127","2024-12-04","[[0.002887, 0.002887],[0.00231, 0.00231],[0.001361, 0.001361],[0.001352, 0.001352],[0.003888, 0.003888]]"
