"","date","daily_vaccines"
"105","2023-11-12","[[0.00593, 0.00593],[0.004549, 0.004549],[0.002701, 0.002701],[0.004763, 0.004763],[0.008419, 0.008419]]"
"106","2023-11-13","[[0.005862, 0.005862],[0.004506, 0.004506],[0.002706, 0.002706],[0.004632, 0.004632],[0.008281, 0.008281]]"
"107","2023-11-14","[[0.005792, 0.005792],[0.004461, 0.004461],[0.002709, 0.002709],[0.0045, 0.0045],[0.008138, 0.008138]]"
"108","2023-11-15","[[0.00572, 0.00572],[0.004415, 0.004415],[0.002712, 0.002712],[0.004367, 0.004367],[0.007991, 0.007991]]"
"109","2023-11-16","[[0.005646, 0.005646],[0.004368, 0.004368],[0.002714, 0.002714],[0.004234, 0.004234],[0.00784, 0.00784]]"
"110","2023-11-17","[[0.00557, 0.00557],[0.004319, 0.004319],[0.002715, 0.002715],[0.004101, 0.004101],[0.007686, 0.007686]]"
"111","2023-11-18","[[0.005492, 0.005492],[0.00427, 0.00427],[0.002716, 0.002716],[0.003968, 0.003968],[0.007529, 0.007529]]"
"112","2023-11-19","[[0.005413, 0.005413],[0.004219, 0.004219],[0.002715, 0.002715],[0.003836, 0.003836],[0.007369, 0.007369]]"
"113","2023-11-20","[[0.005332, 0.005332],[0.004168, 0.004168],[0.002714, 0.002714],[0.003705, 0.003705],[0.007207, 0.007207]]"
"114","2023-11-21","[[0.00525, 0.00525],[0.004115, 0.004115],[0.002711, 0.002711],[0.003576, 0.003576],[0.007043, 0.007043]]"
"115","2023-11-22","[[0.005166, 0.005166],[0.004062, 0.004062],[0.002708, 0.002708],[0.003448, 0.003448],[0.006877, 0.006877]]"
"116","2023-11-23","[[0.005082, 0.005082],[0.004009, 0.004009],[0.002704, 0.002704],[0.003322, 0.003322],[0.006711, 0.006711]]"
"117","2023-11-24","[[0.004997, 0.004997],[0.003954, 0.003954],[0.002699, 0.002699],[0.003199, 0.003199],[0.006544, 0.006544]]"
"118","2023-11-25","[[0.004911, 0.004911],[0.003899, 0.003899],[0.002693, 0.002693],[0.003077, 0.003077],[0.006377, 0.006377]]"
"119","2023-11-26","[[0.004824, 0.004824],[0.003843, 0.003843],[0.002687, 0.002687],[0.002958, 0.002958],[0.00621, 0.00621]]"
"120","2023-11-27","[[0.004736, 0.004736],[0.003787, 0.003787],[0.002679, 0.002679],[0.002842, 0.002842],[0.006044, 0.006044]]"
"121","2023-11-28","[[0.004649, 0.004649],[0.003731, 0.003731],[0.002671, 0.002671],[0.002729, 0.002729],[0.005878, 0.005878]]"
"122","2023-11-29","[[0.004561, 0.004561],[0.003674, 0.003674],[0.002662, 0.002662],[0.002619, 0.002619],[0.005713, 0.005713]]"
"123","2023-11-30","[[0.004473, 0.004473],[0.003617, 0.003617],[0.002652, 0.002652],[0.002511, 0.002511],[0.00555, 0.00555]]"
"124","2023-12-01","[[0.004384, 0.004384],[0.003559, 0.003559],[0.002642, 0.002642],[0.002407, 0.002407],[0.005388, 0.005388]]"
