"","date","daily_vaccines"
"98","2024-11-05","[[0.006219, 0.006219],[0.005094, 0.005094],[0.002779, 0.002779],[0.00406, 0.00406],[0.005441, 0.005441]]"
"99","2024-11-06","[[0.006191, 0.006191],[0.005054, 0.005054],[0.002749, 0.002749],[0.003978, 0.003978],[0.005442, 0.005442]]"
"100","2024-11-07","[[0.006161, 0.006161],[0.005013, 0.005013],[0.002717, 0.002717],[0.003893, 0.003893],[0.00544, 0.00544]]"
"101","2024-11-08","[[0.006129, 0.006129],[0.00497, 0.00497],[0.002684, 0.002684],[0.003806, 0.003806],[0.005436, 0.005436]]"
"102","2024-11-09","[[0.006095, 0.006095],[0.004925, 0.004925],[0.00265, 0.00265],[0.003717, 0.003717],[0.00543, 0.00543]]"
"103","2024-11-10","[[0.006059, 0.006059],[0.004878, 0.004878],[0.002614, 0.002614],[0.003627, 0.003627],[0.005422, 0.005422]]"
"104","2024-11-11","[[0.006021, 0.006021],[0.00483, 0.00483],[0.002578, 0.002578],[0.003537, 0.003537],[0.005411, 0.005411]]"
"105","2024-11-12","[[0.005981, 0.005981],[0.004781, 0.004781],[0.002541, 0.002541],[0.003445, 0.003445],[0.005399, 0.005399]]"
"106","2024-11-13","[[0.005939, 0.005939],[0.00473, 0.00473],[0.002503, 0.002503],[0.003353, 0.003353],[0.005384, 0.005384]]"
"107","2024-11-14","[[0.005895, 0.005895],[0.004678, 0.004678],[0.002464, 0.002464],[0.00326, 0.00326],[0.005367, 0.005367]]"
"108","2024-11-15","[[0.00585, 0.00585],[0.004625, 0.004625],[0.002424, 0.002424],[0.003167, 0.003167],[0.005348, 0.005348]]"
"109","2024-11-16","[[0.005802, 0.005802],[0.00457, 0.00457],[0.002384, 0.002384],[0.003075, 0.003075],[0.005327, 0.005327]]"
"110","2024-11-17","[[0.005754, 0.005754],[0.004514, 0.004514],[0.002343, 0.002343],[0.002983, 0.002983],[0.005304, 0.005304]]"
"111","2024-11-18","[[0.005703, 0.005703],[0.004458, 0.004458],[0.002302, 0.002302],[0.002892, 0.002892],[0.005279, 0.005279]]"
"112","2024-11-19","[[0.005652, 0.005652],[0.0044, 0.0044],[0.00226, 0.00226],[0.002801, 0.002801],[0.005252, 0.005252]]"
"113","2024-11-20","[[0.005598, 0.005598],[0.004341, 0.004341],[0.002218, 0.002218],[0.002711, 0.002711],[0.005223, 0.005223]]"
"114","2024-11-21","[[0.005544, 0.005544],[0.004282, 0.004282],[0.002175, 0.002175],[0.002622, 0.002622],[0.005192, 0.005192]]"
"115","2024-11-22","[[0.005488, 0.005488],[0.004222, 0.004222],[0.002133, 0.002133],[0.002535, 0.002535],[0.005159, 0.005159]]"
"116","2024-11-23","[[0.005431, 0.005431],[0.004161, 0.004161],[0.00209, 0.00209],[0.002449, 0.002449],[0.005125, 0.005125]]"
"117","2024-11-24","[[0.005373, 0.005373],[0.0041, 0.0041],[0.002047, 0.002047],[0.002364, 0.002364],[0.005089, 0.005089]]"
"118","2024-11-25","[[0.005313, 0.005313],[0.004039, 0.004039],[0.002004, 0.002004],[0.002281, 0.002281],[0.005051, 0.005051]]"
"119","2024-11-26","[[0.005253, 0.005253],[0.003976, 0.003976],[0.001962, 0.001962],[0.0022, 0.0022],[0.005011, 0.005011]]"
"120","2024-11-27","[[0.005192, 0.005192],[0.003914, 0.003914],[0.001919, 0.001919],[0.00212, 0.00212],[0.00497, 0.00497]]"
"121","2024-11-28","[[0.00513, 0.00513],[0.003851, 0.003851],[0.001876, 0.001876],[0.002042, 0.002042],[0.004928, 0.004928]]"
"122","2024-11-29","[[0.005067, 0.005067],[0.003788, 0.003788],[0.001834, 0.001834],[0.001966, 0.001966],[0.004884, 0.004884]]"
"123","2024-11-30","[[0.005003, 0.005003],[0.003725, 0.003725],[0.001791, 0.001791],[0.001892, 0.001892],[0.004838, 0.004838]]"
"124","2024-12-01","[[0.004939, 0.004939],[0.003662, 0.003662],[0.00175, 0.00175],[0.001819, 0.001819],[0.004792, 0.004792]]"
"125","2024-12-02","[[0.004874, 0.004874],[0.003599, 0.003599],[0.001708, 0.001708],[0.001749, 0.001749],[0.004744, 0.004744]]"
