"","date","daily_vaccines"
"128","2024-12-05","[[0.003013, 0.003013],[0.002228, 0.002228],[0.001065, 0.001065],[0.001398, 0.001398],[0.003488, 0.003488]]"
"129","2024-12-06","[[0.00297, 0.00297],[0.002187, 0.002187],[0.001038, 0.001038],[0.001342, 0.001342],[0.003448, 0.003448]]"
"130","2024-12-07","[[0.002927, 0.002927],[0.002146, 0.002146],[0.001011, 0.001011],[0.001288, 0.001288],[0.003408, 0.003408]]"
"131","2024-12-08","[[0.002883, 0.002883],[0.002105, 0.002105],[0.000985, 0.000985],[0.001235, 0.001235],[0.003367, 0.003367]]"
"132","2024-12-09","[[0.00284, 0.00284],[0.002065, 0.002065],[0.000959, 0.000959],[0.001184, 0.001184],[0.003325, 0.003325]]"
"133","2024-12-10","[[0.002796, 0.002796],[0.002024, 0.002024],[0.000934, 0.000934],[0.001135, 0.001135],[0.003283, 0.003283]]"
"134","2024-12-11","[[0.002753, 0.002753],[0.001984, 0.001984],[0.000909, 0.000909],[0.001087, 0.001087],[0.00324, 0.00324]]"
"135","2024-12-12","[[0.002709, 0.002709],[0.001945, 0.001945],[0.000884, 0.000884],[0.001041, 0.001041],[0.003197, 0.003197]]"
"136","2024-12-13","[[0.002665, 0.002665],[0.001905, 0.001905],[0.00086, 0.00086],[0.000997, 0.000997],[0.003153, 0.003153]]"
"137","2024-12-14","[[0.002622, 0.002622],[0.001866, 0.001866],[0.000836, 0.000836],[0.000954, 0.000954],[0.003109, 0.003109]]"
"138","2024-12-15","[[0.002578, 0.002578],[0.001827, 0.001827],[0.000813, 0.000813],[0.000913, 0.000913],[0.003065, 0.003065]]"
"139","2024-12-16","[[0.002535, 0.002535],[0.001789, 0.001789],[0.00079, 0.00079],[0.000874, 0.000874],[0.00302, 0.00302]]"
"140","2024-12-17","[[0.002492, 0.002492],[0.001751, 0.001751],[0.000768, 0.000768],[0.000836, 0.000836],[0.002975, 0.002975]]"
