day,ref_total,generic_total,diff_total,ref_0,generic_0,ref_1-4,generic_1-4,ref_5-12,generic_5-12,ref_13-17,generic_13-17,ref_18-49,generic_18-49,ref_50-64,generic_50-64,ref_65+,generic_65+
51,2.6348702419276915,7.566332907940353,4.931462666012662,0.016026148353275847,0.046532766687212034,0.08728318931755868,0.25783036969279394,0.08593380990833277,0.25901769118183,0.041875729547501746,0.1262396291126909,0.28597867271614696,0.8443350521448192,0.29305584405749435,0.8607470132666625,1.8247168480273812,5.171630385854344
52,2.677525095842207,7.895116298601348,5.217591202759141,0.015960185569704025,0.047959223818797456,0.08932813073247575,0.27008046040951195,0.09112637530259524,0.277641132606462,0.04451470764079341,0.13556603901222142,0.29596167411496316,0.8916563400103811,0.30095138634743346,0.9043633007943735,1.839682636134242,5.367849801949601
53,2.7095338805968137,8.212200261633445,5.502666381036631,0.01580316448960365,0.04908845909966121,0.09109109422019768,0.28248574722732067,0.09625278466546024,0.2984240997308729,0.047127027036555295,0.14599654721799252,0.3051398702726908,0.941027174750948,0.30786588752253835,0.9486070903327677,1.8462540523897675,5.546571143273881
54,2.7546586012118075,8.561712916675347,5.80705431546354,0.015768405225339746,0.05037444839845827,0.09331298480067526,0.2962251632622514,0.1016851894227709,0.3212448594499399,0.04989153042277475,0.15745391609336368,0.3153422429205906,0.9949209655276934,0.31595142462253045,0.9969646132901405,1.8627068237971256,5.744528950653501
55,2.8041095451495357,8.930563938323917,6.126454393174382,0.015827973167152957,0.05184366985702787,0.09566887123576223,0.3107210488927162,0.10692809089111079,0.3448060012091559,0.05256275618217612,0.16929295156121765,0.3252890011555638,1.0505663906589242,0.32402863824630357,1.0471443471092035,1.8838042142714662,5.956189529035672
56,2.7447203911245373,9.040996151871774,6.296275760747236,0.015989203861155106,0.05357288935812273,0.09165735711827874,0.3098786945614821,0.09742987178322744,0.332833918716678,0.04782166823521329,0.16328871735539205,0.3101858125030372,1.046197812065167,0.3125839874273794,1.0506600804685762,1.8690524901962458,6.084564039346356
57,2.666330224871339,9.067884156319277,6.401553931447937,0.016219306245470723,0.05553642692962988,0.08642114270870026,0.3036845513090546,0.08475504346692814,0.3075202975806771,0.04147278830544381,0.1505626935867255,0.29009470972594487,1.020418451374873,0.2973718973285184,1.0379206501303524,1.849995337090333,6.1922410854079635
58,2.673073811324356,9.307638967772242,6.634565156447886,0.016202654531223114,0.057103453200450856,0.08674601280239597,0.3108504573143111,0.08602520539818721,0.3145706558585689,0.04215783436966777,0.15414539189355986,0.29238762551041536,1.0474456414074143,0.2989723434377333,1.065379623472083,1.8505821352747334,6.358143744625854
59,2.655384490949551,9.525419589945379,6.870035098995828,0.015807830315750646,0.057809795300487826,0.08674400943664577,0.3192351079194906,0.08882194582134177,0.32960208799297763,0.04362880292779221,0.16179224035687753,0.2953086742246111,1.0833907394558724,0.29981250238165036,1.096907471188301,1.8252607258417592,6.476682147731372
60,2.6199726698708266,9.694887058344761,7.074914388473935,0.015286308221828386,0.0579830266923604,0.08620894907601383,0.3265909408157149,0.09123180052675732,0.345712722483517,0.04491221495098762,0.17001857153734432,0.2965438293874128,1.1175910942045242,0.2988171374429149,1.125051794663131,1.7869724302649117,6.551938907948169
61,2.564555172506341,9.794770304498387,7.230215131992046,0.014706115290906947,0.057751751979523244,0.08497127415209854,0.33172939889099584,0.09253827155598177,0.3596515029798332,0.045646324024192296,0.17718744776106354,0.2947810932717531,1.1439669981216576,0.29507392339312233,1.1451778073791092,1.736838170818286,6.579305397386205
62,2.510652154711339,9.880785702534864,7.370133547823524,0.014202927135573543,0.057533607163780864,0.08373374771534392,0.33638313945829806,0.09344226109709719,0.3726782028153004,0.046176575216935356,0.1839119185022934,0.2923574457022231,1.1677281531070867,0.29097174693405675,1.1629695742242647,1.6897674509101093,6.599581107263839
63,2.385647071322661,9.740276849595748,7.354629778273087,0.01387431103585825,0.05772773856519495,0.07807349888634113,0.3272958164785842,0.08334612027550062,0.3524805073422071,0.04112894491008657,0.1738238504739895,0.27144282708577716,1.1348807044575882,0.27293880112939467,1.137628323377485,1.624842567999703,6.5564399089007
